#CLLF -> Classic LISA Low Frequency
#Classic LISA curve with the low-frequency shape of Proposed LISA (PL)
#shifted to lower frequencies and splined together with Classic LISA. 
#CL is from Larson et al 2000. 
f	ASD
3.897125999999998913e-04	5.167901000000000147e-19
3.987929000000001709e-04	4.935302000000016974e-19
4.080848000000001285e-04	4.713178999999995118e-19
4.175932000000000797e-04	4.501063000000000607e-19
4.273230999999998322e-04	4.298500000000017033e-19
4.372797999999998922e-04	4.105062000000016067e-19
4.474683999999999389e-04	3.920337000000009526e-19
4.578944000000001674e-04	3.743935999999996454e-19
4.685633000000001222e-04	3.575482000000010581e-19
4.794808999999999378e-04	3.414617000000002886e-19
4.906528000000000061e-04	3.261001999999998562e-19
5.020848999999998454e-04	3.114308999999998941e-19
5.137835000000000318e-04	2.974228000000008511e-19
5.257547000000000435e-04	2.840460000000011751e-19
5.380047999999997520e-04	2.712723000000001789e-19
5.505402999999997474e-04	2.590743999999992110e-19
5.633679000000001462e-04	2.474266000000004080e-19
5.764942999999999804e-04	2.363040000000009325e-19
5.899265999999998280e-04	2.256831999999995742e-19
6.036719000000001587e-04	2.155414999999992442e-19
6.177374999999999923e-04	2.058572999999992158e-19
6.321308000000002260e-04	1.966103000000007905e-19
6.468594999999997992e-04	1.877806000000002305e-19
6.619312999999997114e-04	1.793497000000006693e-19
6.773543000000001226e-04	1.712996000000006387e-19
6.931366999999999260e-04	1.636132000000003689e-19
7.092866999999996409e-04	1.562741999999997381e-19
7.258130999999996662e-04	1.492670000000004592e-19
7.427245999999997159e-04	1.425767999999995355e-19
7.600301000000002230e-04	1.361892999999999614e-19
7.777387000000000623e-04	1.300911000000004835e-19
7.958600000000001220e-04	1.242689999999997122e-19
8.144034999999999556e-04	1.187108999999997941e-19
8.333791999999997204e-04	1.134049000000003806e-19
8.527969000000001562e-04	1.083396999999998118e-19
8.726670999999997479e-04	1.035045000000002159e-19
8.930002000000000903e-04	9.888925000000040626e-20
9.138070999999999130e-04	9.448396999999993546e-20
9.350987999999996062e-04	9.027934999999989106e-20
9.568866000000004210e-04	8.626648999999989219e-20
9.791821000000001333e-04	8.243682000000012298e-20
1.001996999999999480e-03	7.878230000000000468e-20
1.025344000000000082e-03	7.529496999999995855e-20
1.049233999999999584e-03	7.196772000000020029e-20
1.073680999999999941e-03	6.879321999999975450e-20
1.098697999999999949e-03	6.576495000000026246e-20
1.124298000000000354e-03	6.287619999999989813e-20
1.150493000000000262e-03	6.012111000000006053e-20
1.177300000000000698e-03	5.749364000000009733e-20
1.204730999999999684e-03	5.498822000000019658e-20
1.232802000000000073e-03	5.259953000000011736e-20
1.261526000000000444e-03	5.032260999999984551e-20
1.290919999999999438e-03	4.815237999999984699e-20
1.320996999999999753e-03	4.608444999999993508e-20
1.351776999999999536e-03	4.411419000000013094e-20
1.383272999999999534e-03	4.223756999999996304e-20
1.415503999999999721e-03	4.045042999999988973e-20
1.448485000000000224e-03	3.874900000000002320e-20
1.482234999999999499e-03	3.712962999999998951e-20
1.516771000000000525e-03	3.558883000000011468e-20
1.552111999999999372e-03	3.412322999999988349e-20
1.588275999999999794e-03	3.272972000000008069e-20
1.625282000000000896e-03	3.140523000000006506e-20
1.663152000000000207e-03	3.014686999999990462e-20
1.701904000000000394e-03	2.895185999999997407e-20
1.741556999999999914e-03	2.781760000000000317e-20
1.782135999999999486e-03	2.674150999999991750e-20
1.823660000000000168e-03	2.572119999999991713e-20
1.866149999999999363e-03	2.475438000000002875e-20
1.909631999999999215e-03	2.383878999999995286e-20
1.954125999999999606e-03	2.297231000000004457e-20
1.999656999999999737e-03	2.215290999999991823e-20
2.046249999999999025e-03	2.137863000000004512e-20
2.093927999999999675e-03	2.064756999999995830e-20
2.142715999999999371e-03	1.995792999999992022e-20
2.192640999999999080e-03	1.930794000000001160e-20
2.243730000000001071e-03	1.869589999999994834e-20
2.296008999999998596e-03	1.812018999999996483e-20
2.349505999999999470e-03	1.757919999999999314e-20
2.404249000000000230e-03	1.707140999999994382e-20
2.460268000000000697e-03	1.659532000000006765e-20
